hour,weighted_min_sum,pct_of_category,stratum,category
4,275603029.72161,0.24,O4,food_prep
5,5512060594.4321995,4.72,O4,food_prep
6,2214647301.607635,1.9,O4,food_prep
7,4638548906.826804,3.97,O4,food_prep
8,27547374710.77774,23.6,O4,food_prep
9,11436845840.932098,9.8,O4,food_prep
10,11750424386.108204,10.07,O4,food_prep
11,4878153328.813355,4.18,O4,food_prep
12,5215177877.61173,4.47,O4,food_prep
13,8339583706.243481,7.14,O4,food_prep
14,4942128668.259455,4.23,O4,food_prep
15,15126769491.721869,12.96,O4,food_prep
16,2132640750.99764,1.83,O4,food_prep
17,2869179190.356135,2.46,O4,food_prep
18,663052588.74189,0.57,O4,food_prep
19,7825531800.063734,6.7,O4,food_prep
20,722922235.990885,0.62,O4,food_prep
21,383814797.68242,0.33,O4,food_prep
22,173091947.74608,0.15,O4,food_prep
23,88092629.728995,0.08,O4,food_prep
0,0.0,0.0,O4,laundry
1,0.0,0.0,O4,laundry
2,0.0,0.0,O4,laundry
3,0.0,0.0,O4,laundry
4,0.0,0.0,O4,laundry
5,0.0,0.0,O4,laundry
6,0.0,0.0,O4,laundry
7,0.0,0.0,O4,laundry
8,0.0,0.0,O4,laundry
9,0.0,0.0,O4,laundry
10,0.0,0.0,O4,laundry
11,0.0,0.0,O4,laundry
12,0.0,0.0,O4,laundry
13,0.0,0.0,O4,laundry
14,0.0,0.0,O4,laundry
15,313631819.20616,22.13,O4,laundry
16,0.0,0.0,O4,laundry
17,0.0,0.0,O4,laundry
18,317480853.82872,22.4,O4,laundry
19,786429923.8478401,55.48,O4,laundry
20,0.0,0.0,O4,laundry
21,0.0,0.0,O4,laundry
22,0.0,0.0,O4,laundry
23,0.0,0.0,O4,laundry
0,0.0,0.0,O4,tv
1,0.0,0.0,O4,tv
2,0.0,0.0,O4,tv
3,0.0,0.0,O4,tv
4,0.0,0.0,O4,tv
5,0.0,0.0,O4,tv
6,0.0,0.0,O4,tv
7,1548616365.04445,6.85,O4,tv
8,1366228658.87115,6.04,O4,tv
9,392938946.18784,1.74,O4,tv
10,0.0,0.0,O4,tv
11,0.0,0.0,O4,tv
12,433008553.02171004,1.91,O4,tv
13,1066907480.402145,4.72,O4,tv
14,2473684163.425495,10.93,O4,tv
15,1059340568.89012,4.68,O4,tv
16,941076480.38991,4.16,O4,tv
17,193772094.24393,0.86,O4,tv
18,9459434285.42498,41.81,O4,tv
19,0.0,0.0,O4,tv
20,1986269970.05016,8.78,O4,tv
21,714746014.6359,3.16,O4,tv
22,498563979.4422,2.2,O4,tv
23,488533645.55826,2.16,O4,tv
0,0.0,0.0,O4,work
1,0.0,0.0,O4,work
2,0.0,0.0,O4,work
3,0.0,0.0,O4,work
4,0.0,0.0,O4,work
5,0.0,0.0,O4,work
6,0.0,0.0,O4,work
7,1258688601.5899498,2.17,O4,work
8,4985639794.422,8.6,O4,work
9,5773343143.43646,9.96,O4,work
10,6848768687.75372,11.81,O4,work
11,2143942360.6174998,3.7,O4,work
12,12601927346.43378,21.74,O4,work
13,2849327942.9295597,4.91,O4,work
14,1857323382.491385,3.2,O4,work
15,14657309830.68624,25.28,O4,work
16,416731408.97214,0.72,O4,work
17,253463181.25383,0.44,O4,work
18,3848895428.9576397,6.64,O4,work
19,484208712.53238,0.84,O4,work
20,0.0,0.0,O4,work
21,0.0,0.0,O4,work
22,0.0,0.0,O4,work
23,0.0,0.0,O4,work
0,39389965.14837,0.04,O4,eating
1,0.0,0.0,O4,eating
2,0.0,0.0,O4,eating
3,0.0,0.0,O4,eating
4,412329890.693385,0.46,O4,eating
5,509601266.593945,0.57,O4,eating
6,1263507915.878395,1.41,O4,eating
7,3787374772.629959,4.23,O4,eating
8,6022454720.60121,6.73,O4,eating
9,8803470348.772373,9.83,O4,eating
10,2689491859.75577,3.0,O4,eating
11,6297140123.49943,7.03,O4,eating
12,8668960812.264374,9.68,O4,eating
